Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
TAF9B,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
PRKG1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
LRP12,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
RBFOX2,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
FRMD6,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
TMEM158,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
PPP1R12A,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
KLHL23,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
BAG2,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
RAB23,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
PALLD,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
METTL24,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
PARVA,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
MRGPRF,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
MRVI1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
KCNMA1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
TSPAN2,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
ACTN1,0,,17636,13,0.000737128600589703,FANCB|FANCG|FANCA|FANCF|STRA13|FANCL|APITD1|FANCC|FANCM|FANCE|FANCD2|BRIP1|FANCI
