Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
CHST9,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
ENSP00000455659.1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CCL3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CCL3L3,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CD53,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
OLFM4,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
TMED8,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CD28,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
PSRC1,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CLDN5,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
PMF1-BGLAP,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CIDEB,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CLCA4,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
SPAG8,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
CCDC50,0.000598035027765912,No,MRE11A|RAD50|NBN|RAD1|HUS1|RAD9A|H2AFX,MAMMALIANS
