Gene,Score,in.gold.standard,gold.standard.genes.in.cluster,Clade
ZNF395,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
IGFBP4,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
DRAXIN,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
PPP1R1B,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
TTC22,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
CCDC155,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
PPP1R1A,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
TRIM50,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
PRR35,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
NT5C,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
NT5M,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
ICAM1,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
FGF18,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
SEMA4F,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
NEUROD2,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
BORCS7,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
TMEM143,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
CPLX3,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
MEA1,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
THY1,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
FAM131B,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
TGFA,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
LFNG,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
RFNG,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
BOC,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
SLCO2A1,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
STAT2,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
FAM65A,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
DBNDD1,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
KAZN,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
BCL2L2,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
VSTM2B,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
CCDC71,0.00127959053103007,No,POLD1|FEN1|XRCC3|TOP3A|RTEL1|LIG1|GEN1|SLX4|BLM|RMI1,MAMMALIANS
ESAM,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
GUCA2A,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
AGT,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
LY86,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
EFCAB12,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
THAP7,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
VPREB1,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
CHGB,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
MBD1,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
MUM1L1,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
GDF2,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
IFNL1,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
IFNL2,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
IFNL3,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
BCL2L11,0.00129282482223659,No,FEN1|XRCC3,MAMMALIANS
