Gene,Depth,Childindex,Cluster_size,n_gs_genes_in_clust,Score,gold.standard.genes.in.cluster
PPP1R1A,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
PFKFB1,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
WNT2B,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
NIPAL2,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
VPS26B,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
DGCR2,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
PIK3R2,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
GAS6,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
SUN1,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
PCDHB13,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
CTTN,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
CDC42BPB,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
USP40,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
PTPN14,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
PTPN21,0,,17636,16,0.000907235200725788,POLD1|PCNA|XRCC3|LIG1|GEN1|FEN1|RMI1|MUS81|SLX1A|BLM|ERCC4|EME1|POLE|TOP3A|RTEL1|SLX4
