,Peng2014.Upregulated,Peng2014.Downregulated,Slabicki.2010.RNAi,Adamson.2012.RNAi,RAD51.foci.impaired,RAD51.foci.retained,Matsukoa.2007.phosphoproteomics,Elia_2015_Acetylation.IR,Elia_2015_Ub.IR,Elia_2015_Ub_MG132.IR,Elia_phos.IR,Elia_Ub_nuclear.IR,Paulsen.2009.gamma.HA2X.increased,Paulsen.2009.gamma.HA2X.decreased,Lord.2008.PARP.inhibitor.sensitivity,Bartz.2006.cisplatin.EC50.mean.fold.change,NPP.clade.optimized.MRS,HPA.tissue.coexpression.MRS,MRE11A.CCI.Malovannaya.2011,BRCA2.CCI.Malovannaya.2011,RAD51C.CCI.Malovannaya.2011,BRCA1.CCI.Malovannaya.2011,LIG1.CCI.Malovannaya.2011,PCNA.CCI.Malovannaya.2011,FANCD2.CCI.Malovannaya.2011,FANCI.CCI.Malovannaya.2011,PALB2.CCI.Malovannaya.2011,RAD50.CCI.Malovannaya.2011
ABLIM1,0,0,0,0,1630,0,2,0,0,0,6.577870914,7.786281871,1.722144295,0,0,0,0.010989011,0.004482524,0,0,0,0,0,0,0,0,0,0
ABLIM2,0,0,0,0,8845,0,0,0,0,0,0,0,0.431350561,0,0,0,0.010989011,0.00921659,0,0,0,0,0,0,0,0,0,0
ABLIM3,0,0,0,0,57,0,0,0,0,0,0,0,0,0.491506641,0,0,0.010989011,0.004482524,0,0,0,0,0,0,0,0,0,0
ABO,0,0,0,0,0,7728,0,0,0,0,0,0,0.322779126,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0
ABR,0,0,0,0,0,3482,0,0,0,0,0,0,0,0.214046306,0,0,0.007633588,0.004482524,0,0,0,0,0,0,0,0,0,0
ABRA,0,0,0,0,0,1522,0,0,0,0,0,0,0,0,0,0,0.018518519,0.00921659,0,0,0,0,0,0,0,0,0,0
ABRACL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.011363636,0,0,0,0,0,0,0,0,0,0
ABT1,0,0,0,0,7566,0,0,0,0,0,0,0,0,0.057220899,0,0,0.012561061,0.004482524,0,0,0,0,0,0,0,0,0,0
ABTB1,0,0,0,2,3888,0,0,0,0,0,0,8.347034247,0.600239461,0,0,0,0.018867925,0.015205725,0,0,0,0,0,0,0,0,0,0
ABTB2,0,0,0,0,0,6100,0,0,0,4.842710729,0,8.347034247,0,0.147697095,0,0,0.096774194,0.005047319,0,0,0,0,0,0,0,0,0,0
ACAA1,0,0,0,0,0,5309,0,0,0,0,0,0,0.208175944,0,0,0,0.028571429,0.004482524,0,0,0,0,0,0,0,0,0,0
ACAA2,0,0,0,0,0,7766,0,0,0,0,0,0,0,0.449284416,0,0,0.028571429,0.004482524,0,0,0,0,0,0,0,0,0,0
ACACA,0,0,0,0,0,2472,0,0,0,0,0,8.347034247,0.980239485,0,0,0,0.105263158,0.010963525,0,0,0,0,0,0,0,0,0,0
ACACB,0,0,0,0,3413,0,0,0,0,0,0,0,0.328810872,0,0,0,0.105263158,0.004482524,0,0,0,0,0,0,0,0,0,0
ACAD10,0,0,0,0,0,8435,0,0,0,0,0,0,0,0,0,0,0.007681366,0.004482524,0,0,0,0,0,0,0,0,0,0
ACAD11,0,0,0,0,7105,0,0,8.550887119,0,0,0,0,0,0,0,0,0.007681366,0.004482524,0,0,0,0,0,0,0,0,0,0
ACAD8,0,0,0,0,0,3608,0,0,0,0,0,0,0,0,0,0,0.01,0.004482524,0,0,0,0,0,0,0,0,0,0
ACAD9,0,0,0,0,0,5313,0,8.852764247,0,0,0,0,0,0.455316162,0,0,0.012658228,0.004482524,0,0,0,0,0,0,0,0,0,0
